Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2022-03-06,388,3255,375,11541,295
2022-03-07,476,3312,419,11543,417
2022-03-08,489,3336,475,11636,382
2022-03-09,510,3373,477,11730,383
2022-03-10,469,3389,446,11770,406
2022-03-11,503,3422,462,11791,441
2022-03-12,438,3427,428,11922,297
2022-03-13,435,3472,400,11944,378
2022-03-14,466,3518,427,11979,392
2022-03-15,541,3557,495,12076,398
2022-03-16,540,3594,497,12172,401
2022-03-17,544,3635,513,12290,395
2022-03-18,531,3670,494,12340,444
2022-03-19,409,3633,444,12437,347
2022-03-20,460,3665,422,12531,328
2022-03-21,506,3711,463,12599,395
2022-03-22,512,3736,481,12694,386
2022-03-23,512,3763,479,12753,420
2022-03-24,551,3792,513,12827,439
2022-03-25,520,3815,504,12891,440
2022-03-26,470,3841,453,12994,350
2022-03-27,396,3830,402,13031,365
2022-03-28,541,3911,460,13049,442
2022-03-29,514,3937,485,13125,409
2022-03-30,537,3939,528,13217,436
2022-03-31,549,3985,507,13278,446
2022-04-01,519,3975,526,13353,451
2022-04-02,500,3996,471,13452,372
2022-04-03,485,4028,463,13580,335
2022-04-04,550,4061,507,13646,441
2022-04-05,604,4079,581,13819,408
2022-04-06,522,4058,544,13893,470
2022-04-07,555,4120,502,13919,476
2022-04-08,559,4133,537,13996,460
2022-04-09,475,4136,479,14113,362
2022-04-10,422,4143,418,14161,370
2022-04-11,599,4226,516,14223,454
2022-04-12,542,4217,557,14272,508
2022-04-13,560,4239,540,14341,471
2022-04-14,541,4254,528,14360,509
2022-04-15,549,4323,489,14386,463
2022-04-16,475,4311,483,14493,376
2022-04-17,458,4330,449,14558,384
2022-04-18,602,4414,513,14604,467
2022-04-19,568,4451,541,14661,484
2022-04-20,573,4470,553,14726,488
2022-04-21,585,4484,561,14738,549
2022-04-22,604,4545,547,14812,473
2022-04-23,464,4505,500,14914,398
2022-04-24,472,4529,438,14940,412
2022-04-25,626,4626,522,14958,504
2022-04-26,571,4632,569,15054,473
2022-04-27,608,4665,568,15151,471
2022-04-28,603,4725,552,15246,457
2022-04-29,575,4725,579,15337,488
2022-04-30,476,4750,458,15379,416
2022-05-01,489,4782,462,15455,386
2022-05-02,608,4854,542,15492,505
2022-05-03,577,4875,560,15517,535
2022-05-04,606,4925,563,15542,538
2022-05-05,610,4955,582,15613,511
2022-05-06,561,4959,564,15645,532
2022-05-07,498,4964,496,15742,399
2022-05-08,535,5009,498,15814,426
2022-05-09,598,5061,547,15836,525
2022-05-10,625,5087,606,15934,508
2022-05-11,601,5137,560,15941,553
2022-05-12,585,5166,558,15941,558
2022-05-13,583,5178,573,15985,529
2022-05-14,463,5130,518,16096,407
2022-05-15,535,5188,485,16148,433
2022-05-16,594,5261,516,16105,559
2022-05-17,627,5296,588,16170,523
2022-05-18,610,5315,594,16232,532
2022-05-19,604,5327,582,16269,545
2022-05-20,596,5336,579,16306,542
2022-05-21,518,5346,498,16348,456
2022-05-22,506,5353,493,16395,446
2022-05-23,592,5408,533,16393,535
2022-05-24,608,5451,558,16381,570
2022-05-25,607,5489,568,16396,553
2022-05-26,607,5530,568,16386,578
2022-05-27,572,5524,570,16437,519
2022-05-28,485,5516,492,16452,477
2022-05-29,530,5568,471,16469,454
2022-05-30,572,5595,546,16456,559
2022-05-31,635,5630,590,16472,574
2022-06-01,564,5614,590,16478,584
2022-06-02,623,5671,560,16515,523
2022-06-03,617,5696,599,16563,551
2022-06-04,512,5710,506,16623,446
2022-06-05,556,5755,515,16694,444
2022-06-06,600,5793,571,16713,552
2022-06-07,578,5833,543,16694,562
2022-06-08,608,5848,593,16732,555
2022-06-09,630,5880,604,16792,544
2022-06-10,606,5907,582,16844,530
2022-06-11,506,5911,507,16920,431
2022-06-12,498,5932,476,16931,465
2022-06-13,631,6022,546,16884,593
2022-06-14,570,6041,558,16890,552
2022-06-15,625,6086,573,16881,582
2022-06-16,586,6122,557,16842,596
2022-06-17,577,6137,560,16806,596
2022-06-18,486,6177,452,16847,411
2022-06-19,456,6185,449,16853,443
2022-06-20,587,6265,514,16797,570
2022-06-21,589,6278,570,16798,569
2022-06-22,555,6306,520,16736,582
2022-06-23,557,6346,512,16682,566
2022-06-24,598,6398,551,16667,566
2022-06-25,495,6398,486,16699,454
2022-06-26,514,6408,503,16735,467
2022-06-27,584,6486,515,16696,554
2022-06-28,578,6530,540,16707,529
2022-06-29,609,6581,561,16682,586
2022-06-30,558,6581,567,16680,569
2022-07-01,565,6609,535,16683,532
2022-07-02,471,6603,472,16713,442
2022-07-03,473,6652,429,16671,471
2022-07-04,558,6699,510,16628,553
2022-07-05,535,6741,503,16615,516
2022-07-06,521,6773,485,16565,535
2022-07-07,571,6833,505,16549,521
2022-07-08,569,6856,545,16569,525
2022-07-09,442,6824,478,16607,440
2022-07-10,452,6870,404,16583,428
2022-07-11,549,6931,491,16515,559
2022-07-12,544,6967,498,16416,597
2022-07-13,580,6989,548,16435,529
2022-07-14,580,7017,550,16463,522
2022-07-15,521,7019,523,16412,574
2022-07-16,470,7038,459,16459,412
2022-07-17,472,7049,464,16480,443
2022-07-18,516,7066,494,16436,538
2022-07-19,566,7128,511,16348,599
2022-07-20,540,7143,523,16346,525
2022-07-21,587,7194,526,16310,562
2022-07-22,508,7211,494,16234,570
2022-07-23,453,7232,436,16245,425
2022-07-24,442,7268,413,16205,453
2022-07-25,533,7304,487,16164,528
2022-07-26,550,7338,513,16139,538
2022-07-27,493,7325,503,16098,544
2022-07-28,566,7385,510,16040,568
2022-07-29,497,7365,516,15979,577
2022-07-30,408,7360,418,15948,449
2022-07-31,424,7410,383,15904,427
2022-08-01,450,7436,416,15792,528
2022-08-02,542,7532,452,15690,554
2022-08-03,496,7539,488,15638,540
2022-08-04,466,7572,437,15584,491
2022-08-05,469,7607,441,15500,525
2022-08-06,389,7568,425,15520,405
2022-08-07,395,7598,368,15435,453
2022-08-08,495,7668,427,15379,483
2022-08-09,525,7717,486,15326,539
2022-08-10,475,7715,485,15291,520
2022-08-11,471,7736,454,15196,549
2022-08-12,506,7776,476,15161,511
2022-08-13,408,7762,420,15185,396
2022-08-14,429,7816,382,15186,381
2022-08-15,450,7842,429,15101,514
2022-08-16,458,7848,451,15033,519
2022-08-17,502,7892,461,14956,538
2022-08-18,452,7895,444,14907,493
2022-08-19,437,7934,389,14799,497
2022-08-20,391,7945,377,14757,419
2022-08-21,349,7947,342,14694,405
2022-08-22,457,7991,410,14631,473
2022-08-23,412,7993,407,14562,476
2022-08-24,448,8033,412,14482,492
2022-08-25,471,8073,426,14379,529
2022-08-26,465,8085,456,14354,481
2022-08-27,358,8080,362,14320,396
2022-08-28,390,8130,348,14277,391
2022-08-29,417,8150,396,14156,517
2022-08-30,434,8171,404,14083,477
2022-08-31,460,8216,414,14022,475
2022-09-01,405,8210,407,13972,457
2022-09-02,393,8235,362,13895,439
2022-09-03,315,8236,318,13849,364
2022-09-04,375,8267,338,13797,390
2022-09-05,424,8300,385,13731,451
2022-09-06,422,8352,371,13685,417
2022-09-07,398,8363,392,13631,446
2022-09-08,427,8398,392,13558,465
2022-09-09,377,8374,398,13486,470
2022-09-10,365,8409,332,13416,402
2022-09-11,328,8421,306,13331,391
2022-09-12,396,8458,360,13258,433
2022-09-13,362,8490,331,13163,426
2022-09-14,407,8510,377,13133,407
2022-09-15,349,8527,342,13010,465
2022-09-16,431,8566,391,12970,431
2022-09-17,316,8543,344,12960,354
2022-09-18,338,8568,320,12914,366
2022-09-19,402,8630,347,12857,404
2022-09-20,344,8609,359,12763,453
2022-09-21,354,8618,343,12702,404
2022-09-22,399,8655,366,12656,412
2022-09-23,380,8696,340,12529,467
2022-09-24,248,8675,270,12444,355
2022-09-25,320,8685,314,12430,328
2022-09-26,382,8731,346,12362,414
2022-09-27,363,8734,354,12316,400
2022-09-28,368,8772,337,12236,417
2022-09-29,379,8780,365,12203,398
2022-09-30,369,8813,334,12120,417
2022-10-01,293,8789,312,12092,340
2022-10-02,341,8798,326,12054,364
2022-10-03,360,8817,336,11968,422
2022-10-04,353,8828,345,11944,369
2022-10-05,346,8875,305,11843,406
2022-10-06,328,8892,308,11748,403
2022-10-07,347,8916,329,11722,355
2022-10-08,283,8878,311,11693,340
2022-10-09,304,8925,262,11620,335
2022-10-10,339,8962,294,11529,385
2022-10-11,357,8980,347,11469,407
2022-10-12,322,8997,314,11420,363
2022-10-13,337,9018,309,11351,378
2022-10-14,362,9070,317,11290,378
2022-10-15,270,9062,278,11257,311
2022-10-16,298,9094,259,11217,299
2022-10-17,357,9139,317,11108,426
2022-10-18,379,9147,363,11128,343
2022-10-19,353,9153,338,11085,381
2022-10-20,307,9163,297,11020,362
2022-10-21,311,9158,319,11003,336
2022-10-22,309,9190,276,10995,284
2022-10-23,267,9203,259,10962,292
2022-10-24,333,9243,300,10917,345
2022-10-25,362,9303,309,10876,350
2022-10-26,376,9341,347,10870,353
2022-10-27,301,9345,295,10819,346
2022-10-28,349,9377,316,10756,379
2022-10-29,267,9361,285,10739,302
2022-10-30,315,9374,292,10719,312
2022-10-31,345,9409,305,10649,375
2022-11-01,300,9399,318,10644,323
2022-11-02,298,9391,297,10556,385
2022-11-03,318,9428,284,10507,333
2022-11-04,329,9445,305,10426,386
2022-11-05,270,9440,283,10455,254
2022-11-06,279,9452,276,10441,290
2022-11-07,343,9485,306,10393,354
2022-11-08,284,9486,288,10322,359
2022-11-09,326,9529,285,10275,332
2022-11-10,323,9566,287,10228,334
2022-11-11,372,9580,349,10254,323
2022-11-12,288,9557,314,10281,287
2022-11-13,242,9567,235,10242,274
2022-11-14,353,9624,305,10206,341
2022-11-15,291,9613,303,10134,375
2022-11-16,354,9658,315,10082,367
2022-11-17,374,9670,362,10100,344
2022-11-18,373,9676,373,10121,352
2022-11-19,225,9639,263,10139,245
2022-11-20,331,9691,272,10145,266
2022-11-21,342,9714,328,10113,360
2022-11-22,367,9719,372,10123,362
2022-11-23,291,9715,303,10129,297
2022-11-24,352,9783,293,10093,329
2022-11-25,306,9747,342,10092,343
2022-11-26,292,9767,270,10082,280
2022-11-27,266,9771,254,10070,266
2022-11-28,364,9789,338,10057,351
2022-11-29,297,9805,273,10010,320
2022-11-30,321,9839,278,9946,342
2022-12-01,298,9848,299,9901,344
2022-12-02,374,9936,290,9859,332
2022-12-03,334,9920,350,9933,276
2022-12-04,291,9927,288,9956,265
2022-12-05,377,9986,327,9938,345
2022-12-06,369,10005,350,9935,353
2022-12-07,346,10029,332,9938,329
2022-12-08,344,10026,346,9934,350
2022-12-09,352,10027,360,9948,346
2022-12-10,284,10026,286,9969,265
2022-12-11,288,10024,292,9969,292
2022-12-12,387,10072,349,9971,347
2022-12-13,372,10118,332,9944,359
2022-12-14,382,10143,356,9967,333
2022-12-15,371,10154,365,9965,367
2022-12-16,473,10200,420,10037,348
2022-12-17,280,10154,332,10079,290
2022-12-18,318,10185,289,10105,263
2022-12-19,381,10228,347,10109,343
2022-12-20,360,10250,335,10097,347
2022-12-21,410,10296,368,10125,340
2022-12-22,396,10282,406,10199,332
2022-12-23,339,10257,368,10241,326
2022-12-24,328,10279,301,10247,295
2022-12-25,344,10321,296,10260,283
2022-12-26,381,10361,334,10247,347
2022-12-27,382,10391,345,10256,336
2022-12-28,433,10430,388,10257,387
2022-12-29,400,10442,385,10281,361
2022-12-30,349,10430,363,10308,336
2022-12-31,320,10428,314,10346,276
2023-01-01,345,10438,345,10426,265
2023-01-02,398,10461,366,10451,341
2023-01-03,454,10512,408,10519,340
2023-01-04,408,10508,404,10556,367
2023-01-05,415,10520,412,10575,393
2023-01-06,404,10537,386,10605,356
2023-01-07,367,10550,363,10652,316
2023-01-08,345,10563,337,10703,286
2023-01-09,422,10617,362,10707,358
2023-01-10,427,10641,404,10751,360
2023-01-11,456,10679,419,10817,353
2023-01-12,461,10703,443,10892,368
2023-01-13,407,10666,435,10956,371
2023-01-14,325,10684,305,10964,297
2023-01-15,350,10711,333,10993,304
2023-01-16,471,10765,417,11029,381
2023-01-17,465,10802,432,11067,394
2023-01-18,479,10828,448,11141,374
2023-01-19,446,10836,437,11226,352
2023-01-20,470,10834,463,11319,370
2023-01-21,409,10861,387,11377,329
2023-01-22,391,10846,402,11479,300
2023-01-23,515,10893,466,11551,394
2023-01-24,486,10900,481,11646,386
2023-01-25,420,10934,391,11611,426
2023-01-26,467,10994,413,11635,389
2023-01-27,489,11036,442,11677,400
2023-01-28,387,11016,399,11767,309
2023-01-29,429,11070,370,11807,330
2023-01-30,480,11116,425,11842,390
2023-01-31,438,11146,418,11877,383
2023-02-01,556,11212,482,11970,389
2023-02-02,476,11228,455,12026,399
2023-02-03,515,11279,473,12105,394
2023-02-04,403,11263,429,12195,339
2023-02-05,414,11285,400,12252,343
2023-02-06,515,11364,440,12275,417
2023-02-07,518,11417,471,12346,400
2023-02-08,534,11447,494,12376,464
2023-02-09,519,11488,480,12432,424
2023-02-10,518,11506,496,12542,386
2023-02-11,467,11517,461,12659,344
2023-02-12,462,11535,448,12758,349
2023-02-13,580,11606,509,12854,413
2023-02-14,504,11616,493,12921,426
2023-02-15,565,11695,496,12975,442
2023-02-16,566,11711,544,13026,493
2023-02-17,550,11717,545,13152,419
2023-02-18,458,11711,473,13292,333
2023-02-19,476,11747,442,13341,393
2023-02-20,558,11837,476,13375,442
2023-02-21,621,11883,585,13491,469
2023-02-22,577,11912,555,13594,452
2023-02-23,557,11935,528,13706,416
2023-02-24,593,11964,558,13800,464
2023-02-25,480,11938,503,13955,348
2023-02-26,537,11960,513,14113,355
2023-02-27,601,11976,583,14210,486
2023-02-28,598,12018,551,14289,472
2023-03-01,559,12039,533,14360,462
2023-03-02,556,12097,506,14408,458
2023-03-03,641,12144,586,14483,511
2023-03-04,514,12153,513,14616,380
2023-03-05,476,12158,476,14676,416
2023-03-06,582,12230,507,14704,479
2023-03-07,618,12294,553,14793,464
2023-03-08,619,12321,596,14875,514
2023-03-09,621,12334,608,14972,511
2023-03-10,597,12344,589,15060,501
2023-03-11,538,12347,542,15181,421
2023-03-12,536,12356,521,15274,428
2023-03-13,639,12419,578,15326,526
2023-03-14,606,12407,618,15440,504
2023-03-15,665,12467,601,15521,520
2023-03-16,602,12492,576,15578,519
2023-03-17,623,12533,584,15691,471
2023-03-18,536,12518,542,15788,445
2023-03-19,534,12535,527,15894,421
2023-03-20,623,12585,567,15927,534
2023-03-21,674,12655,606,16012,521
2023-03-22,666,12702,626,16106,532
2023-03-23,643,12716,633,16197,542
2023-03-24,632,12715,626,16281,542
2023-03-25,561,12715,562,16396,447
2023-03-26,534,12705,540,16503,433
2023-03-27,639,12774,561,16500,564
2023-03-28,665,12829,614,16540,574
2023-03-29,695,12843,675,16673,542
2023-03-30,696,12854,684,16745,612
2023-03-31,644,12884,620,16834,531
2023-04-01,559,12892,552,16894,492
2023-04-02,563,12919,539,17005,428
2023-04-03,652,12977,584,17048,541
2023-04-04,661,13030,618,17087,579
2023-04-05,636,13083,591,17119,559
2023-04-06,650,13128,614,17155,578
2023-04-07,658,13167,627,17220,562
2023-04-08,591,13166,582,17354,448
2023-04-09,590,13210,552,17427,479
2023-04-10,697,13307,591,17440,578
2023-04-11,661,13382,591,17472,559
2023-04-12,670,13416,631,17540,563
2023-04-13,701,13494,633,17593,580
2023-04-14,701,13546,654,17651,596
2023-04-15,607,13553,599,17775,475
2023-04-16,596,13608,546,17846,475
2023-04-17,720,13661,665,17926,585
2023-04-18,693,13675,686,18051,561
2023-04-19,750,13711,708,18198,561
2023-04-20,698,13708,693,18292,599
2023-04-21,727,13752,679,18334,637
2023-04-22,606,13758,607,18446,495
2023-04-23,585,13792,548,18510,484
2023-04-24,759,13878,670,18563,617
2023-04-25,703,13907,667,18590,640
2023-04-26,704,13957,661,18615,636
2023-04-27,709,14017,654,18678,591
2023-04-28,695,14045,666,18729,615
2023-04-29,635,14059,629,18854,504
2023-04-30,608,14047,611,18942,523
2023-05-01,706,14101,643,18957,628
2023-05-02,740,14156,690,18998,649
2023-05-03,753,14181,719,19091,626
2023-05-04,748,14209,713,19147,657
2023-05-05,706,14257,664,19160,651
2023-05-06,547,14234,576,19228,508
2023-05-07,610,14284,564,19262,530
2023-05-08,693,14357,610,19228,644
2023-05-09,673,14402,623,19219,632
2023-05-10,690,14459,635,19198,656
2023-05-11,691,14470,675,19213,660
2023-05-12,746,14526,687,19235,665
2023-05-13,608,14520,614,19321,528
2023-05-14,594,14513,591,19388,524
2023-05-15,741,14604,654,19361,681
2023-05-16,708,14620,698,19372,687
2023-05-17,693,14657,666,19418,620
2023-05-18,735,14724,677,19434,661
2023-05-19,778,14804,707,19486,655
2023-05-20,579,14752,636,19591,531
2023-05-21,561,14772,550,19639,502
2023-05-22,722,14873,625,19623,641
2023-05-23,710,14905,685,19654,654
2023-05-24,728,14961,679,19663,670
2023-05-25,731,15002,686,19690,659
2023-05-26,707,15052,663,19698,655
2023-05-27,605,15045,620,19767,551
2023-05-28,628,15078,594,19827,534
2023-05-29,685,15131,640,19832,635
2023-05-30,733,15170,686,19859,659
2023-05-31,706,15167,714,19942,631
2023-06-01,732,15204,689,19956,675
2023-06-02,637,15215,628,19931,653
2023-06-03,543,15201,559,19970,520
2023-06-04,622,15280,553,20001,522
2023-06-05,710,15360,637,19975,663
2023-06-06,709,15357,702,20011,666
2023-06-07,727,15409,682,20038,655
2023-06-08,710,15431,682,20025,695
2023-06-09,687,15416,695,20019,701
2023-06-10,596,15431,571,20077,513
2023-06-11,588,15462,566,20071,572
2023-06-12,699,15529,623,20026,668
2023-06-13,676,15545,656,20009,673
2023-06-14,646,15534,654,19942,721
2023-06-15,703,15612,625,19928,639
2023-06-16,665,15622,649,19921,656
2023-06-17,608,15638,595,19977,539
2023-06-18,585,15625,593,20040,530
2023-06-19,661,15701,590,19940,690
2023-06-20,684,15759,632,19918,654
2023-06-21,665,15766,652,19905,665
2023-06-22,689,15817,635,19875,665
2023-06-23,659,15822,658,19844,689
2023-06-24,550,15787,579,19889,534
2023-06-25,550,15808,529,19905,513
2023-06-26,620,15856,568,19812,661
2023-06-27,686,15918,633,19812,633
2023-06-28,630,15928,627,19742,697
2023-06-29,661,15962,627,19721,648
2023-06-30,707,16005,657,19703,675
2023-07-01,552,16001,553,19731,525
2023-07-02,514,16023,492,19678,545
2023-07-03,652,16126,556,19584,650
2023-07-04,628,16173,585,19480,689
2023-07-05,700,16214,664,19489,655
2023-07-06,618,16204,619,19437,671
2023-07-07,621,16235,584,19343,678
2023-07-08,540,16254,520,19353,510
2023-07-09,548,16276,528,19369,512
2023-07-10,621,16367,530,19264,635
2023-07-11,625,16382,620,19239,645
2023-07-12,596,16398,574,19186,627
2023-07-13,616,16460,561,19053,694
2023-07-14,614,16511,555,18974,634
2023-07-15,555,16516,540,19031,483
2023-07-16,543,16527,522,19005,548
2023-07-17,615,16558,575,18964,616
2023-07-18,581,16593,551,18894,621
2023-07-19,634,16645,585,18820,659
2023-07-20,603,16661,577,18711,686
2023-07-21,559,16677,546,18614,643
2023-07-22,451,16651,471,18574,511
2023-07-23,502,16672,479,18542,511
2023-07-24,570,16738,506,18414,634
2023-07-25,567,16760,542,18349,607
2023-07-26,627,16782,615,18318,646
2023-07-27,580,16804,560,18279,599
2023-07-28,596,16847,545,18234,590
2023-07-29,458,16822,483,18258,459
2023-07-30,462,16823,452,18200,510
2023-07-31,573,16867,537,18132,605
2023-08-01,564,16869,569,18072,629
2023-08-02,554,16895,528,17980,620
2023-08-03,558,16910,545,17892,633
2023-08-04,572,16957,533,17822,603
2023-08-05,513,16987,483,17793,512
2023-08-06,432,16956,455,17819,429
2023-08-07,543,16999,492,17706,605
2023-08-08,517,17004,521,17660,567
2023-08-09,563,17041,530,17594,596
2023-08-10,511,17050,504,17535,563
2023-08-11,546,17102,503,17456,582
2023-08-12,441,17069,466,17438,484
2023-08-13,451,17103,419,17411,446
2023-08-14,516,17136,473,17279,605
2023-08-15,508,17151,485,17193,571
2023-08-16,525,17176,507,17132,568
2023-08-17,510,17190,505,17048,589
2023-08-18,490,17218,464,16919,593
2023-08-19,429,17221,433,16924,428
2023-08-20,482,17295,416,16910,430
2023-08-21,493,17316,470,16798,582
2023-08-22,486,17341,464,16701,561
2023-08-23,513,17371,480,16639,542
2023-08-24,483,17411,452,16529,562
2023-08-25,497,17454,454,16382,601
2023-08-26,421,17461,414,16371,425
2023-08-27,415,17479,406,16358,419
2023-08-28,491,17517,449,16270,537
2023-08-29,475,17556,446,16159,557
2023-08-30,437,17561,429,16053,535
2023-08-31,485,17607,447,15980,520
2023-09-01,491,17580,513,15967,526
2023-09-02,361,17533,404,15944,427
2023-09-03,368,17542,351,15847,448
2023-09-04,414,17604,362,15664,545
2023-09-05,446,17621,423,15569,518
2023-09-06,406,17592,440,15459,550
2023-09-07,419,17630,384,15358,485
2023-09-08,431,17683,385,15195,548
2023-09-09,326,17675,327,15106,416
2023-09-10,334,17699,301,14974,433
2023-09-11,401,17761,349,14847,476
2023-09-12,456,17778,429,14782,494
2023-09-13,443,17796,431,14745,468
2023-09-14,413,17808,405,14636,514
2023-09-15,428,17861,381,14485,532
2023-09-16,427,17887,393,14483,395
2023-09-17,398,17867,412,14512,383
2023-09-18,434,17899,403,14452,463
2023-09-19,387,17904,386,14360,478
2023-09-20,430,17938,396,14283,473
2023-09-21,386,17955,364,14138,509
2023-09-22,388,17995,348,14014,472
2023-09-23,282,17983,291,13916,389
2023-09-24,305,18000,290,13801,405
2023-09-25,432,18059,369,13727,443
2023-09-26,404,18057,404,13670,461
2023-09-27,395,18093,351,13594,427
2023-09-28,371,18114,346,13488,452
2023-09-29,371,18135,355,13418,425
2023-09-30,321,18159,305,13374,349
2023-10-01,343,18179,327,13365,336
2023-10-02,352,18213,327,13260,432
2023-10-03,350,18242,321,13123,458
2023-10-04,393,18274,367,13021,469
2023-10-05,351,18272,361,12955,427
2023-10-06,386,18329,339,12882,412
2023-10-07,330,18325,329,12872,339
2023-10-08,315,18333,298,12800,370
2023-10-09,411,18420,329,12675,454
2023-10-10,403,18426,402,12657,420
2023-10-11,342,18417,355,12596,416
2023-10-12,366,18418,364,12531,429
2023-10-13,381,18440,358,12458,431
2023-10-14,330,18447,330,12484,304
2023-10-15,272,18440,277,12416,345
2023-10-16,313,18480,264,12236,444
2023-10-17,359,18527,308,12124,420
2023-10-18,355,18531,350,12096,378
2023-10-19,359,18552,336,12047,385
2023-10-20,391,18625,315,11934,428
2023-10-21,308,18589,345,11937,342
2023-10-22,271,18605,251,11852,336
2023-10-23,368,18691,290,11754,388
2023-10-24,366,18721,335,11699,390
2023-10-25,343,18725,345,11621,423
2023-10-26,344,18714,358,11560,419
2023-10-27,415,18793,346,11490,416
2023-10-28,328,18776,342,11488,344
2023-10-29,295,18807,269,11427,330
2023-10-30,372,18855,316,11374,369
2023-10-31,309,18864,292,11312,354
2023-11-01,367,18918,317,11288,341
2023-11-02,364,18930,342,11225,405
2023-11-03,306,18902,344,11163,406
2023-11-04,277,18910,261,11115,309
2023-11-05,264,18897,282,11103,294
2023-11-06,335,18911,321,11062,362
2023-11-07,337,18904,335,11054,343
2023-11-08,374,18934,348,10985,417
2023-11-09,346,18936,347,10945,387
2023-11-10,351,18928,353,10918,380
2023-11-11,273,18885,308,10959,267
2023-11-12,277,18911,252,10928,283
2023-11-13,309,18915,302,10854,376
2023-11-14,330,18930,308,10775,387
2023-11-15,340,18948,326,10729,372
2023-11-16,379,18973,347,10695,381
2023-11-17,339,18975,339,10669,365
2023-11-18,327,18966,329,10724,274
2023-11-19,336,18964,332,10739,317
2023-11-20,318,18984,290,10671,358
2023-11-21,342,19015,307,10637,341
2023-11-22,333,19038,313,10609,341
2023-11-23,325,19039,318,10529,398
2023-11-24,345,19086,300,10488,341
2023-11-25,313,19098,311,10529,270
2023-11-26,320,19116,311,10557,283
2023-11-27,326,19131,310,10514,353
2023-11-28,356,19136,347,10508,353
2023-11-29,327,19110,350,10491,367
2023-11-30,337,19136,316,10460,347
2023-12-01,342,19155,324,10435,349
2023-12-02,309,19171,301,10475,261
2023-12-03,313,19173,303,10474,304
2023-12-04,362,19206,327,10440,361
2023-12-05,409,19228,386,10482,344
2023-12-06,335,19235,331,10479,334
2023-12-07,368,19271,326,10473,332
2023-12-08,354,19278,353,10427,399
2023-12-09,272,19264,294,10423,298
2023-12-10,274,19310,238,10350,311
2023-12-11,378,19360,319,10360,309
2023-12-12,366,19334,385,10424,321
2023-12-13,375,19360,344,10388,380
2023-12-14,396,19362,384,10398,374
2023-12-15,421,19416,365,10419,344
2023-12-16,320,19388,346,10483,282
2023-12-17,302,19389,304,10513,274
2023-12-18,372,19435,334,10511,336
2023-12-19,354,19460,337,10496,352
2023-12-20,384,19476,361,10481,376
2023-12-21,356,19456,366,10474,373
2023-12-22,429,19492,390,10494,370
2023-12-23,331,19457,357,10572,279
2023-12-24,273,19472,268,10568,272
2023-12-25,398,19555,313,10510,371
2023-12-26,404,19588,364,10564,310
2023-12-27,390,19582,387,10564,387
2023-12-28,402,19612,376,10563,377
2023-12-29,363,19623,356,10557,362
2023-12-30,353,19645,339,10602,294
2023-12-31,298,19645,303,10598,307
